包名,可疑评论占比(T1=0.4),可疑评论占比(T1=0.6),可疑评论占比(T1=0.8),评论用户占可疑用户比例(T1=0.4),评论用户占可疑用户比例(T1=0.6),评论用户占可疑用户比例(T1=0.8)
com.sparklingsociety.cityisland,0.15361625821876868,0.07112970711297072,0.05080693365212194,0.003428414701042238,0.0016005391289697583,0.0013052479971194526
cn.relian99,0.49383301707779886,0.033918406072106264,0.019449715370018977,0.0261930883159627,0.0020217336365933787,0.001260239445494644
com.topgether.sixfoot,0.39285714285714285,0.30357142857142855,0.1,0.0025713110257816786,0.0025692864965040857,0.001260239445494644
com.freebird.zsp.DailyAccounting,0.35802469135802467,0.30864197530864196,0.30864197530864196,0.0009942402633022491,0.0010529862690590514,0.0011252137906202179
com.huishuaka.zxzs,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0008571036752605595,0.0010529862690590514,0.0011252137906202179
com.neaststudios.procapture,0.13226571767497033,0.025504151838671413,0.02372479240806643,0.0034969829950630828,0.0009266279167719653,0.000945179584120983
com.gipnetix.escapers,0.09846153846153846,0.04923076923076923,0.029538461538461538,0.002228469555677455,0.0012635835228708618,0.0009001710324961742
com.xinli.fm,0.08921933085501858,0.08921933085501858,0.08178438661710037,0.00071996708721887,0.0008845084660096032,0.0009001710324961742
com.lianjia.sh.android,0.8808510638297873,0.14893617021276595,0.07659574468085106,0.005828304991771805,0.001474180776682672,0.0008101539292465569
com.basalt.google.wizarddefense,0.06299212598425197,0.013325257419745608,0.013325257419745608,0.002502742731760834,0.000716030662960155,0.0007651453776217482
com.leju.platform,0.20388349514563106,0.1262135922330097,0.1262135922330097,0.0009599561162918266,0.000716030662960155,0.0007651453776217482
com.yinshan.guessstarface,0.1456726649528706,0.01970865467009426,0.01970865467009426,0.004765496434448711,0.000716030662960155,0.0007651453776217482
sr.daiv.alls.en,0.043557168784029036,0.036297640653357534,0.034482758620689655,0.0007542512342292924,0.000758150113722517,0.0007651453776217482
com.intimateweather.weather,0.40476190476190477,0.38095238095238093,0.38095238095238093,0.0005828304991771805,0.000673911212197793,0.0007201368259969394
com.pycredit.txxy,0.1452991452991453,0.1452991452991453,0.13675213675213677,0.0005828304991771805,0.000716030662960155,0.0007201368259969394
com.studioonmars.csportable_space,0.08789954337899543,0.02511415525114155,0.023972602739726026,0.0017484914975315414,0.000716030662960155,0.0007201368259969394
com.mobileott.securecall,0.30612244897959184,0.30612244897959184,0.30612244897959184,0.0005142622051563357,0.0006317917614354309,0.0006751282743721307
com.jetsun,0.4523809523809524,0.4523809523809524,0.15476190476190477,0.0014056500274273176,0.0017268974812568445,0.000630119722747322
cn.com.njcb.android.mobilebank,0.325,0.325,0.325,0.00044569391113549094,0.0005475528599107067,0.0005851111711225133
com.baidu.baidulife,0.35185185185185186,0.19135802469135801,0.15432098765432098,0.0009599561162918266,0.0006317917614354309,0.0005851111711225133
net.canking.power,0.041666666666666664,0.03935185185185185,0.034722222222222224,0.0005485463521667581,0.0006317917614354309,0.0005851111711225133
cn.wangxiao.app,0.7800608828006088,0.769406392694064,0.06621004566210045,0.0066854086670323646,0.008044815095611153,0.0005401026194977045
com.myaosoft.Rps05,0.43317972350230416,0.3838051349572087,0.3403554970375247,0.00215990126165661,0.0011372251705837756,0.0005401026194977045
imoblife.batterybooster,0.22413793103448276,0.22413793103448276,0.20689655172413793,0.00044569391113549094,0.0005475528599107067,0.0005401026194977045
com.biggertech.biggerlauncher,0.325,0.3,0.275,0.00044569391113549094,0.0005054334091483447,0.0004950940678728958
com.microinfo.zhaoxiaogong,0.34269662921348315,0.28651685393258425,0.06179775280898876,0.001165660998354361,0.0011372251705837756,0.0004950940678728958
com.citaq.ideliver,0.08433734939759036,0.0783132530120482,0.060240963855421686,0.0004799780581459133,0.0005475528599107067,0.0004500855162480871
com.guixue.m.cet,0.9267241379310345,0.9094827586206896,0.0603448275862069,0.005005485463521668,0.005980962008255412,0.0004500855162480871
com.leduoworks.gpstoolbox,0.025186934277843367,0.0070838252656434475,0.0070838252656434475,0.0010970927043335162,0.0004211945076236206,0.0004500855162480871
com.moxiu.wallpaper,0.8188405797101449,0.45652173913043476,0.036231884057971016,0.007748217224355458,0.00530705079605762,0.0004500855162480871
com.melesta.toydefense3,0.12077294685990338,0.03260869565217391,0.020531400966183576,0.00143993417443774,0.00046331395838598264,0.0004050769646232784
com.sinsiroad.potionmaker,0.11338582677165354,0.029921259842519685,0.02204724409448819,0.0013713658804168952,0.0005054334091483447,0.0004050769646232784
com.goorusoft.MetalWars3,0.04861111111111111,0.034722222222222224,0.034722222222222224,0.00041140976412506856,0.0003369556060988965,0.0003600684129984697
com.realcloud.loochadroid.college,0.03686635944700461,0.03686635944700461,0.03686635944700461,0.00027427317608337906,0.0003369556060988965,0.0003600684129984697
com.bmqz.www,0.11428571428571428,0.1,0.1,0.00027427317608337906,0.0002948361553365344,0.000315059861373661
